fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"ts_min_10(ts_wma_55(TA_BOP(kdj_d, ts_mean_return_20(v_rsi_6_sum), ta_dema_8(ori_rsi_6), v_ts_range_5)))",4,9,alpha_56,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ta_beta_5(ts_sma_55(ta_willr_25(sarext, l_ts_argrange_5, v_rsi_6_obv)), ta_trima_21(ts_std_40(ts_argrange_5(ta_ema_21(v_rsi_24_obv))))), ts_delta_3(ta_dema_21(ta_rocp_25(fm60))), ta_rsi_6(ta_tema_55(ta_mom_12(toptrader_oi_lsr))))",6,20,alpha_57,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_BOP(ta_ema_21(l_ts_argmax_20), ta_lr_angle_20(ta_rocp_25(ts_prod_8(ta_mom_25(ad_index)))), ta_trima_8(oi_ccy), ts_kurt_10(o_ts_argmin_10))",5,12,alpha_58,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_lr_intercept_10(ta_minus_dm_25(o_ta_lr_slope_10, obv_v)), v_ta_cmo_25)",3,6,alpha_59,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_BOP(ts_sma_55(ma15_c), ta_minus_di_14(count_lsr, h_ts_std_10, h_ts_argmax_5), ts_lag_17(v_rsi_6_sum), ta_dx_25(v_ts_argrange_10, ori_ta_bop, h))",2,13,alpha_60,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"inv(ts_max_10(ta_minus_dm_14(cci_14, v_power_a)))",3,5,alpha_61,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_25(tan(ts_std_10(c_power_c)), ts_delta_3(ta_minus_dm_25(ta_ema_8(h_ts_argmax_5), v_cci_25_obv)), c_ts_argrange_10)",4,10,alpha_62,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmin_20(TS_CORR_40(ta_trix_21(ta_tema_21(ta_tema_21(h_ts_std_10))), ts_argmax_20(ta_trix_55(tan(ori_rsi_24)))))",5,10,alpha_63,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_17(ta_dx_14(TS_CORR_40(taker_vol_lsr, r), c_power_c, ta_dema_55(ta_trima_21(ts_rank_20(ta_tema_21(v_ts_day_max_20))))))",6,11,alpha_64,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_slope_10(log(ta_mfi_14(ts_range_20(taker_vol_lsr), sar_index, ta_minus_di_25(l_ts_day_min_40, close_macd, stdevrate), v_rsi_6_obv)))",4,11,alpha_65,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_wma_8(ori_ta_ad), cos(toptrader_oi_lsr))",2,5,alpha_66,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_5(ts_rank_10(ta_dx_14(ta_minus_di_14(ad_index, v_ta_cmo_25, sarext), TA_BOP(ori_trix_8, c_ts_sma_21, sarext, sarext), ta_cci_14(toptrader_oi_lsr, v_rsi_6_sum, oi_ccy))))",4,16,alpha_67,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmax_10(ta_dema_21(ta_mfi_25(v_trix_8_obv, v_power_a, count_lsr, ma55_c)))",3,7,alpha_68,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(taker_vol_lsr, l_ts_prod_8)",1,3,alpha_69,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(ts_kurt_40(ts_std_40(ta_dx_25(ta_lr_slope_5(sar_index), TA_SAR(ori_rsi_6, ma15_c), ts_lag_3(ta_ema_8(v_bop_sum))))))",6,12,alpha_70,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
