fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"TS_CORR_20(ta_rocp_25(ta_trima_8(ts_delta_17(v_rsi_6_obv))), ta_rsi_24(ta_mom_12(ta_minus_di_14(ts_lag_3(v_ts_day_max_20), ta_tema_21(sar_index), ta_ema_21(r)))))",5,14,alpha_3471,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argmax_10(ta_dema_21(ts_std_10(ts_kurt_40(ts_kurt_10(ta_dema_55(ta_tsf_10(taker_vol_lsr))))))),7,8,alpha_3472,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_5(ts_max_5(v_trix_8_obv)),2,3,alpha_3473,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_14(ta_lr_slope_20(ts_argrange_5(TA_BOP(ta_lr_angle_5(ts_argmax_5(v_rsi_24_sum)), ts_min_20(TA_BOP(fm40, v_rsi_6_obv, lgp_shortcut_illiq_6, ori_rsi_6)), add(ts_rank_5(v_rsi_6_sum), ta_tsf_10(v_power_a)), ta_dx_25(ts_argmax_20(v_rsi_12_obv), ts_prod_3(r), ta_rsi_24(v_power_a))))))",6,25,alpha_3474,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_mom_25(ts_kurt_40(ta_tema_55(v_cmo_14_obv))),3,4,alpha_3475,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_cmo_14(min(abs(tanh(ma35_c)), ta_atr_25(ta_beta_5(taker_vol_lsr, ori_trix_21), add(v_rsi_12_obv, ori_trix_21), TA_SAR(count_lsr, ma55_c))))",4,15,alpha_3476,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(lgp_shortcut_illiq_6, ts_lag_3(ta_lr_intercept_20(ts_min_5(v_trix_8_obv))))",4,6,alpha_3477,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_std_20(ts_range_5(ts_delta_3(ta_tema_55(ta_ema_21(sarext))))),5,6,alpha_3478,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"div(ts_sum_8(ts_mean_return_10(ts_sma_21(ta_aroonosc_14(v_cci_25_obv, trades)))), ta_minus_dm_14(ori_rsi_6, v_bop_sum))",5,10,alpha_3479,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_minus_dm_14(TA_HT_DCPHASE(ta_rocp_14(v_power_a)), ta_dema_8(sub(c_power_c, v_cci_25_obv)))",3,8,alpha_3480,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_sma_55(ts_delta_3(ta_minus_dm_25(sub(ts_prod_17(mfi_index), ts_max_10(toptrader_count_lsr)), ta_trix_55(ta_ema_55(v_trix_8_obv)))))",5,11,alpha_3481,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_kurt_20(ta_minus_di_14(ta_aroonosc_25(ta_lr_intercept_20(ori_cmo_25), ts_kurt_10(stdevrate)), ta_tema_8(TA_BOP(v_ts_sma_21, ori_ta_macd, m_line, sar_index)), ta_rsi_24(TA_HT_DCPERIOD(kdj_d))))",4,16,alpha_3482,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(oi_ccy, ta_lr_intercept_10(ta_rsi_6(ts_max_10(ts_argmax_5(ta_mfi_25(fm40, ma25_c, v_ta_cmo_25, v_rsi_6_obv))))))",6,11,alpha_3483,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_40(ta_beta_10(ta_mom_12(ta_atr_25(v_rsi_6_obv, h_line, v_cci_25_obv)), v_cci_25_sum), ts_min_10(sub(ts_argrange_5(fm20), ts_argmin_5(ppo))))",4,14,alpha_3484,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ta_beta_5(ts_sma_55(ta_willr_25(sarext, l_ts_argrange_5, v_rsi_6_obv)), ta_trima_21(ta_trima_8(ta_dema_55(ta_rocr_25(ts_prod_8(ts_min_10(v_cmo_14_obv))))))), ts_delta_3(ta_dema_21(ta_rocp_25(fm60))), ta_rsi_6(ta_tema_55(ta_mom_12(toptrader_oi_lsr))))",8,22,alpha_3485,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_wma_8(ta_trix_8(ts_wma_21(TS_CORR_20(ta_beta_20(toptrader_oi_lsr, ma25_c), ta_tema_8(TA_SAR(sar_close, o))))))",6,11,alpha_3486,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocp_14(ta_lr_slope_10(v_sar_obv)),2,3,alpha_3487,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_lag_3(cos(TA_SAR(ts_argrange_10(ta_trix_21(o)), ori_rsi_24)))",5,7,alpha_3488,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_lr_slope_20(TA_SAR(ts_max_20(v_rsi_24_obv), ts_argmin_20(ad_real))), ts_mean_return_10(mul(ts_max_5(ta_rocp_25(ta_atr_14(mfi_30, ori_ta_macd, v_trix_8_obv))), ta_lr_intercept_5(ta_tsf_5(ts_std_10(tr_index))))))",6,19,alpha_3489,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_rank_10(ta_mom_12(ta_mfi_14(ta_tsf_20(h_ts_argmax_5), ts_kurt_10(v_rsi_12_sum), ts_std_20(fm60), tanh(ma15_c))))",4,11,alpha_3490,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(ts_argmin_20(ts_std_40(ta_beta_20(sarext, h_ts_argmax_5))), div(ta_minus_dm_14(oi_ccy, close_macd), ta_beta_10(oi, oi_ccy)))",4,13,alpha_3491,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ts_argmax_20(ts_argmin_5(ts_sum_3(ta_minus_dm_14(ma15_c, sarext)))), ta_lr_intercept_10(ta_mfi_25(add(ta_tema_21(cci_25), v_trix_8_obv), log(TS_COV_40(v_rsi_6_sum, ori_ta_bop)), max(ts_min_20(v_ts_argrange_10), ts_min_10(h_ta_lr_angle_10)), ts_prod_17(inv(cci_14)))))",5,25,alpha_3492,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_min_10(ta_mom_12(ts_range_5(ta_beta_20(ma55_c, ts_max_5(v_rsi_6_obv)))))",5,7,alpha_3493,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_skew_40(ta_rsi_24(sin(ts_std_20(ts_min_10(v_rsi_24_obv))))),5,6,alpha_3494,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_argmin_10(ta_dx_14(TS_CORR_40(taker_vol_lsr, r), c_power_c, ta_dema_55(ta_trima_21(ts_rank_20(ta_tema_21(v_ts_day_max_20)))))), ts_argmin_20(ta_ema_55(ori_trix_8)))",7,15,alpha_3495,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_25(TS_CORR_40(v_rsi_24_sum, taker_vol_lsr))",2,4,alpha_3496,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(min(ts_lag_17(ta_mfi_14(ts_rank_5(trades), ta_tema_55(v_ts_day_max_20), ts_std_10(ma15_c), ts_max_5(TS_CORR_20(ta_tsf_10(ts_rank_20(h_ts_std_10)), ts_mean_return_20(ts_min_5(cci_55)))))), TS_CORR_20(ta_lr_intercept_10(ta_rsi_24(l_ts_day_min_40)), ts_argmin_5(ts_min_10(ori_rsi_24)))), ta_ema_8(ta_dema_21(ta_cmo_25(TS_CORR_20(ori_ta_obv, ori_ta_obv)))), ts_max_20(ts_sum_17(ts_prod_3(ts_skew_10(ma15_c)))))",8,36,alpha_3497,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(cos(ts_sum_8(toptrader_oi_lsr)), ta_lr_slope_10(ta_dema_55(ta_lr_angle_10(TA_HT_DCPERIOD(TS_COV_40(ta_lr_slope_20(h), ts_sma_55(v_ts_day_max_20)))))))",7,13,alpha_3498,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_std_20(TA_SAR(v_ts_day_max_20, v_bop_sum))",2,4,alpha_3499,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_rank_20(ta_beta_5(ta_mfi_14(ma55_c, ta_dema_55(TS_CORR_20(ts_sum_17(ori_rsi_6), ma25_c)), ta_dema_8(toptrader_oi_lsr), v_rsi_24_obv), stdevrate))",6,13,alpha_3500,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocr_25(ts_prod_8(ta_dema_55(ta_beta_20(sarext, cci_55))))",4,6,alpha_3501,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_delta_17(cos(ta_mom_12(ta_beta_10(ta_trix_8(sqrt(ts_max_10(toptrader_oi_lsr))), ta_aroonosc_25(ts_kurt_20(ts_sma_8(ma15_c)), ta_atr_25(ta_minus_dm_14(ori_cmo_25, ori_trix_55), ts_skew_40(v_cmo_14_obv), ts_delta_3(cci_14)))))))",7,20,alpha_3502,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argrange_20(ta_trima_8(ts_delta_3(ta_dema_21(v_bop_sum)))),4,5,alpha_3503,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocr_14(ta_mfi_14(ts_kurt_10(ta_tsf_5(ts_min_5(v_sar_obv))), lgp_shortcut_illiq_6, sub(tan(o_ts_argmin_10), sar_index), o_ts_range_10))",5,12,alpha_3504,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_cmo_14(ts_max_20(ta_minus_dm_25(ts_argmin_5(ts_delta_17(c_ts_day_min_40)), ta_trix_55(ts_max_5(v_sar_obv)))))",5,9,alpha_3505,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocr_25(ta_tema_55(ts_argmax_5(TA_BOP(sub(sar_close, taker_vol_lsr), v_rsi_24_obv, ta_lr_intercept_10(trades), ts_prod_17(v_rsi_12_sum)))))",5,12,alpha_3506,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_wma_8(v_rsi_6_obv),1,2,alpha_3507,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_20(ts_sum_3(TS_COV_40(v_sar_obv, h)))",3,5,alpha_3508,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_delta_3(elu(ta_trix_8(TA_BOP(sin(l), TA_SAR(ta_lr_angle_10(v_rsi_6_obv), max(v_rsi_24_sum, l_ts_argrange_5)), ts_rank_20(ma55_c), ts_mean_return_5(fm30)))))",6,16,alpha_3509,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_min_20(ta_mom_12(ta_rsi_6(ta_dema_55(sarext)))),4,5,alpha_3510,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ts_skew_20(ta_atr_14(h_ts_argmax_5, ori_rsi_24, cci_14)), ts_lag_17(ta_lr_intercept_20(ts_sum_8(v_rsi_12_obv))))",4,10,alpha_3511,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_20(ta_trima_8(ts_mean_return_20(ts_min_5(ta_tsf_20(ts_wma_21(v_power_a)))))),6,7,alpha_3512,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ts_sum_17(ts_argrange_10(ta_beta_5(volume_macd, c_power_c))), TA_TRANGE(o_ts_argmin_10, v_cmo_14_obv, o_ta_lr_slope_10))",4,10,alpha_3513,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_std_20(ta_lr_angle_20(ta_tsf_10(TA_SAR(fm20, v_rsi_6_sum))))",4,6,alpha_3514,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ta_dema_21(v_bop_sum), abs(c))",2,5,alpha_3515,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_25(TS_CORR_40(ts_rank_20(ts_wma_21(v_sar_obv)), ta_tema_8(TA_SAR(ts_prod_8(v_cmo_14_obv), ta_tsf_10(count_lsr)))))",5,11,alpha_3516,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_25(ta_lr_slope_20(ta_rsi_12(sarext)), ta_lr_slope_5(v_bop_sum), ma55_c)",3,7,alpha_3517,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_20(ta_mom_25(ts_prod_17(vol_ccy))),3,4,alpha_3518,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ta_cmo_14(sarext), ta_rsi_12(ts_rank_10(h_line)))",3,6,alpha_3519,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_14(ta_beta_10(min(ts_sma_55(ts_argrange_5(ma35_c)), ts_mean_return_5(ta_willr_14(ori_rsi_12, v_bop_sum, ori_rsi_12))), TA_HT_DCPERIOD(ta_lr_slope_5(ta_trima_21(o_ta_lr_slope_10)))), ts_sma_8(ts_skew_20(ts_delta_17(TA_SAR(c_ts_sma_21, ad_index)))), ta_minus_di_14(sarext, taker_vol_lsr, ma55_c), ta_lr_intercept_10(ts_argrange_20(ts_sum_8(ts_prod_17(v_power_a)))))",5,30,alpha_3520,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_rank_20(TS_CORR_40(v_rsi_6_sum, taker_vol_lsr))",2,4,alpha_3521,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_10(ts_sum_3(ta_willr_14(ta_lr_slope_5(v_power_a), ts_wma_55(v_ta_cmo_25), elu(ma15_c))))",4,9,alpha_3522,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mom_12(ta_beta_10(ta_trix_8(sqrt(ts_max_10(toptrader_oi_lsr))), ta_aroonosc_25(ts_rank_10(abs(r)), ta_atr_25(ta_minus_dm_14(ori_cmo_25, ori_trix_55), ts_skew_40(v_cmo_14_obv), ts_delta_3(cci_14)))))",5,18,alpha_3523,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_8(ta_dema_55(ta_beta_20(ta_beta_20(ta_ema_21(TA_TRANGE(v_ts_range_5, c_ta_tsf_5, obv_v)), ts_argmin_20(ts_argmax_10(cci_25))), cci_55)))",6,13,alpha_3524,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_25(ta_ema_21(ts_skew_20(ta_lr_angle_5(ts_sum_8(c_power_c)))), ta_trima_55(add(ts_lag_3(v_rsi_24_sum), ta_dema_8(ma25_c))), ts_delta_3(ta_tsf_5(ta_ema_55(ori_rsi_12))))",5,16,alpha_3525,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ta_trix_8(ts_wma_21(elu(toptrader_count_lsr))), ta_trix_8(c))",4,7,alpha_3526,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_skew_20(ta_trix_8(ta_dx_25(toptrader_count_lsr, lgp_shortcut_illiq_6, oi_ccy)))",3,6,alpha_3527,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_10(TA_BOP(c, ta_rocp_25(ts_range_20(ts_mean_return_20(taker_vol_lsr))), m_line, v_rsi_6_obv))",5,9,alpha_3528,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"tan(ta_mfi_25(toptrader_oi_lsr, ori_ta_ad, ad_real, sarext))",2,6,alpha_3529,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(sub(ta_cmo_25(taker_vol_lsr), ma15_c), c_ts_sma_21, sar_close, ts_rank_20(ta_beta_20(ta_ema_21(TA_TRANGE(v_ts_range_5, c_ta_tsf_5, obv_v)), ts_argmin_20(ts_argmax_10(cci_25)))))",5,17,alpha_3530,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(mul(oi_ccy, ts_prod_3(cci_55)), ts_argmax_20(ta_trima_55(l_ts_argrange_5)))",3,8,alpha_3531,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(ta_lr_intercept_5(ta_atr_14(ori_trix_8, sar_close, v_sar_obv)), v_ts_range_5)",3,7,alpha_3532,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_min_20(ts_wma_55(ts_argrange_5(ma35_c))), ts_rank_10(ts_argmax_10(ta_beta_5(sarext, v_rsi_24_sum))))",4,10,alpha_3533,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(TS_COV_20(ta_rsi_24(ts_prod_8(max(fm40, v_rsi_12_obv))), ta_cmo_25(sarext)))",5,9,alpha_3534,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_rank_10(ta_ema_21(ta_lr_slope_10(ori_ta_obv))),3,4,alpha_3535,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_argmin_20(ta_trix_55(ta_dx_14(r, oi, fm20))), ts_sma_8(obv_v))",4,9,alpha_3536,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ts_skew_20(ta_atr_14(h_ts_argmax_5, ori_rsi_24, cci_14)), ta_rocp_14(sarext))",3,8,alpha_3537,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_beta_5(v_rsi_6_sum, obv_v), ta_dema_21(ta_minus_dm_14(ma25_c, v_rsi_12_obv)))",3,8,alpha_3538,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(ts_std_20(ta_beta_20(v_rsi_12_obv, v_rsi_12_obv)), ts_argmax_20(abs(r)))",3,8,alpha_3539,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ts_sma_8(h_ts_argmax_5), TA_SAR(v_cci_25_sum, v_rsi_24_sum), oi)",2,7,alpha_3540,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_intercept_20(ts_range_10(ts_argmax_10(ts_argmin_5(ta_tema_21(ta_atr_25(tr_index, o_ta_lr_slope_10, v_bop_sum))))))",6,9,alpha_3541,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_angle_20(ta_dema_21(v_cmo_14_obv)),2,3,alpha_3542,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"inv(ta_rocp_25(ta_beta_5(cci_55, sarext)))",3,5,alpha_3543,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_17(ta_tsf_20(ta_dema_55(TS_CORR_40(ori_rsi_24, c_power_c))))",4,6,alpha_3544,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_8(TA_SAR(v_rsi_24_obv, tanh(sarext)))",3,5,alpha_3545,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_range_5(ta_lr_intercept_20(neg(v_trix_8_obv))),3,4,alpha_3546,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_tema_55(ta_rsi_24(sarext)), min(ta_tema_55(cos(ta_rocp_14(ma35_c))), ts_sum_8(ts_kurt_10(ts_rank_10(sar_close)))))",5,13,alpha_3547,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ta_lr_intercept_5(ts_mean_return_5(ta_mom_25(ta_rocp_25(ta_minus_di_25(o_ts_range_10, fm20, sarext))))), ma15_c)",6,10,alpha_3548,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_cmo_25(m_line), ta_dema_8(ta_lr_intercept_10(ori_ta_obv)))",3,6,alpha_3549,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_40(ta_beta_10(ta_lr_angle_10(sarext), ts_argrange_20(ta_beta_10(taker_vol_lsr, stdevrate))), ts_min_10(sub(ts_argrange_5(fm20), ts_argmin_5(ppo))))",4,14,alpha_3550,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_17(ta_minus_di_25(v_rsi_24_sum, ta_tema_55(TS_CORR_40(ta_dx_25(ta_aroonosc_14(v_sar_obv, ori_ta_obv), ts_lag_3(v_rsi_6_sum), ts_range_20(v_ts_sma_21)), ts_min_5(inv(ori_ta_ad)))), trades))",6,17,alpha_3551,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(ta_trima_55(ts_delta_17(ori_ta_ad)), v_ts_range_5)",3,5,alpha_3552,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_intercept_20(sqrt(TA_BOP(ta_dema_21(cci_25), inv(ori_ta_ad), ta_dx_14(v_ts_day_max_20, c_power_c, cci_14), ta_beta_20(toptrader_count_lsr, c_ts_argrange_10))))",4,14,alpha_3553,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmin_10(TA_SAR(ta_tsf_10(v_cci_25_obv), c))",3,5,alpha_3554,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_slope_5(ts_max_5(ts_argmax_10(ts_sum_3(v_rsi_6_obv)))),4,5,alpha_3555,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(ts_range_5(elu(sub(o_ts_range_10, ma8_c))))",4,6,alpha_3556,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ta_beta_20(mul(oi_ccy, ts_prod_3(cci_55)), ta_dema_55(ts_max_10(v_rsi_12_obv))), ts_sum_8(TA_HT_DCPHASE(ta_minus_dm_14(ori_trix_8, v_cci_25_obv))))",4,14,alpha_3557,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ts_argmax_20(ts_argmin_5(ts_sum_3(ta_minus_dm_14(ma15_c, sarext)))), ta_lr_intercept_10(ta_mfi_25(ta_dema_21(ts_sma_8(c_ts_day_min_40)), log(TS_COV_40(v_rsi_6_sum, ori_ta_bop)), max(ts_min_20(v_ts_argrange_10), ta_lr_intercept_5(ts_wma_21(h_ts_std_10))), ts_prod_17(inv(cci_14)))))",6,25,alpha_3558,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dema_8(ta_mom_25(TS_CORR_40(sarext, ta_ema_55(toptrader_oi_lsr))))",4,6,alpha_3559,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ts_kurt_40(ts_lag_17(TS_COV_20(toptrader_count_lsr, v_bop_sum))), ta_cci_14(TS_CORR_40(ta_tema_8(ta_ema_8(v_sar_obv)), ts_argmax_5(ts_range_20(taker_vol_lsr))), ta_mfi_14(ts_rank_5(v_cci_25_obv), ts_range_20(h_ts_argmax_5), add(l_ts_day_min_40, oi), ta_dema_55(cci_55)), ts_argmin_5(ta_dema_8(h_ts_kurt_20))), ta_lr_intercept_5(ts_wma_55(ts_sma_8(fm40))))",5,31,alpha_3560,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(tanh(sarext), h_ts_kurt_20, ta_trima_21(count_lsr), ta_dema_55(ts_delta_3(l_ts_day_min_40)))",3,9,alpha_3561,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(cos(ts_sum_8(toptrader_oi_lsr)), ta_dema_55(l))",3,6,alpha_3562,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_14(ts_wma_55(max(ts_std_10(trades), mul(v_rsi_6_sum, ori_ta_macd))), TS_CORR_40(ta_trima_21(sin(cci_55)), ts_rank_10(ta_cci_25(c_ta_tsf_5, ad_index, cci_55))), ta_mom_12(ts_argmin_20(ta_atr_25(v_rsi_12_obv, ad_real, close_macd))), ta_rsi_6(ta_tema_55(ts_delta_17(v_rsi_12_obv))))",4,27,alpha_3563,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_lr_slope_20(TA_SAR(ts_delta_3(v_bop_sum), ts_argmin_20(ad_real))), ts_mean_return_10(ts_max_10(ts_range_10(l_ts_argmax_20))))",4,11,alpha_3564,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_lr_angle_10(ta_trix_21(ts_range_20(ta_mom_12(ad_index)))), ta_trix_55(ta_lr_intercept_20(ts_argmin_10(mfi_30))))",5,10,alpha_3565,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_trix_8(ta_beta_5(ts_skew_10(ts_kurt_10(ts_kurt_40(ts_prod_17(v_rsi_24_obv)))), ta_tsf_20(ts_sum_17(TS_COV_40(lgp_shortcut_illiq_6, sarext)))))",6,12,alpha_3566,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ta_beta_20(ta_lr_slope_10(obv_v), ta_lr_slope_20(ori_rsi_6)), ta_ema_8(ts_wma_55(ori_ta_bop)), ta_tema_21(ta_trix_8(fm30)))",3,12,alpha_3567,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,inv(ta_rocp_25(ts_sma_55(ts_min_10(v_rsi_24_obv)))),4,5,alpha_3568,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(v_ts_std_20, v_rsi_6_sum)",1,3,alpha_3569,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(elu(ori_ta_ad), ta_cmo_25(o_ts_argmin_10))",2,5,alpha_3570,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_kurt_10(ts_argmax_5(ta_dema_55(sarext))),3,4,alpha_3571,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_kurt_20(ts_range_5(ta_willr_14(tanh(ts_lag_3(o)), ts_std_10(tanh(v_bop_sum)), ts_sum_8(add(v_bop_sum, v_bop_sum)))))",5,13,alpha_3572,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
